crop,region,soil_type,rainfall_mm,avg_temp_c,humidity_pct,sunlight_hours,soil_ph,soil_nitrogen_kg_ha,soil_phosphorus_kg_ha,soil_potassium_kg_ha,soil_organic_matter_pct,fertilizer_kg_ha,irrigation_mm,pesticide_l_ha,ndvi,planting_density_k_per_ha,days_to_harvest,yield_tons_per_ha
Wheat,West,Silty,630.7,22.1,70.7,5.23,6.54,46.5,42.6,24.0,2.64,138.8,194.0,1.52,0.762,46.3,131,2.995
Maize,Central,Loamy,674.9,32.8,69.5,6.35,7.17,46.3,43.7,40.8,3.61,204.7,278.0,2.98,0.611,82.4,157,4.807
Cotton,South,Sandy,890.4,19.6,60.4,8.58,6.45,72.9,33.6,43.1,3.07,160.7,250.3,1.73,0.708,92.2,114,1.986
Wheat,North,Silty,416.1,20.4,59.3,5.54,7.42,31.2,56.9,67.5,4.15,202.3,194.7,1.21,0.69,116.2,149,3.476
Cotton,East,Clayey,751.0,20.3,58.7,7.12,7.09,44.8,66.4,55.1,3.55,231.4,284.8,1.81,0.674,72.7,109,1.67
Cotton,South,Clayey,874.9,20.8,48.3,7.52,6.67,75.4,32.8,27.0,1.95,224.2,143.3,1.63,0.95,104.4,163,1.845
Rice,East,Clayey,254.4,23.9,48.1,5.77,6.33,45.3,60.8,18.3,3.46,46.5,391.5,0.52,0.882,67.6,107,4.413
Soybean,South,Silty,871.2,16.3,68.2,8.51,6.13,51.0,33.4,52.0,3.17,180.8,370.8,0.0,0.693,98.7,91,2.199
Wheat,South,Sandy,281.5,30.5,49.3,7.61,5.48,47.4,28.4,37.7,4.27,238.7,382.0,3.65,0.638,63.4,90,3.586
Soybean,South,Silty,670.6,23.1,72.2,6.62,5.59,60.6,38.3,34.9,2.07,106.9,199.4,3.13,0.83,82.5,155,2.046
Soybean,South,Clayey,409.2,38.9,59.2,10.54,7.2,19.2,50.4,61.6,2.34,269.4,184.2,3.48,0.841,66.9,157,2.057
Rice,West,Silty,1057.8,17.0,72.3,8.52,7.56,46.9,38.7,20.4,3.4,187.2,458.6,2.9,0.625,80.2,96,4.406
Wheat,East,Clayey,410.7,33.5,69.6,4.47,5.74,50.8,48.9,39.9,4.41,207.5,276.5,1.59,0.618,80.1,103,2.99
Cotton,East,Loamy,287.5,32.3,72.6,6.42,6.55,35.0,42.7,53.8,2.8,207.5,368.4,1.82,0.465,81.9,60,1.949
Maize,North,Clayey,733.3,21.5,52.9,10.7,5.4,55.2,56.2,28.5,3.6,69.3,161.7,1.38,0.656,64.1,89,4.901
Cotton,East,Silty,596.6,21.6,66.1,5.53,5.82,61.8,46.4,63.2,3.04,209.7,265.7,2.54,0.642,79.0,113,1.515
Soybean,North,Loamy,323.8,18.5,71.1,7.1,6.68,56.8,58.4,30.8,2.96,179.6,443.0,2.47,0.756,86.9,113,2.558
Soybean,South,Silty,831.5,18.5,36.7,8.85,6.14,76.7,29.7,44.0,4.15,123.1,316.0,1.66,0.88,73.5,67,2.066
Soybean,East,Loamy,202.1,24.0,85.5,7.98,5.16,43.5,37.6,35.3,3.11,247.4,270.0,2.44,0.794,62.6,83,2.664
Wheat,North,Silty,440.9,24.1,94.0,8.19,7.7,57.5,40.0,6.6,2.56,36.3,368.0,3.16,0.767,65.0,166,3.485
Rice,South,Silty,556.2,14.4,74.2,8.11,6.47,57.1,29.8,39.1,2.5,113.2,337.9,2.0,0.575,99.8,149,4.16
Maize,South,Loamy,900.6,37.8,72.1,7.04,5.73,46.5,27.9,56.1,2.69,237.2,550.1,0.84,0.548,80.2,123,3.27
Maize,Central,Clayey,1023.9,22.4,68.8,5.81,6.59,67.0,44.6,30.5,2.31,210.5,304.9,2.46,0.721,107.9,124,5.012
Wheat,Central,Loamy,975.7,24.4,55.1,7.65,6.44,54.3,48.0,36.2,2.76,117.7,377.7,0.78,0.696,75.1,120,2.823
Maize,North,Clayey,661.7,20.2,58.3,6.4,6.8,32.0,41.4,37.8,3.06,107.3,283.8,1.19,0.714,77.0,117,4.748
Wheat,West,Silty,93.2,22.4,74.5,6.28,6.26,61.3,52.7,52.5,3.29,140.3,181.4,2.28,0.461,90.7,120,3.107
Soybean,West,Loamy,797.7,21.9,45.4,9.22,6.72,42.5,26.8,40.0,2.01,173.5,350.6,2.62,0.461,91.1,81,2.277
Soybean,South,Loamy,1067.6,24.0,44.1,6.43,7.16,45.2,35.3,45.3,2.58,129.4,124.0,2.1,0.531,106.7,114,2.107
Cotton,East,Sandy,1008.4,23.9,54.0,9.56,5.58,46.3,25.8,45.5,2.63,150.8,418.4,0.99,0.715,36.7,69,1.654
Soybean,West,Sandy,815.7,28.8,69.8,7.39,6.01,61.0,41.7,37.7,2.24,161.6,142.0,4.79,0.607,89.5,115,2.12
Rice,South,Loamy,402.6,25.4,47.0,6.76,7.09,66.2,45.9,68.7,2.42,136.7,193.7,1.48,0.837,58.7,130,4.839
Cotton,North,Sandy,568.7,28.2,56.6,4.27,6.11,47.6,56.1,30.6,3.9,130.3,183.7,2.45,0.454,77.5,106,2.104
Maize,South,Sandy,1183.5,23.9,58.4,10.18,6.44,46.7,25.9,54.8,4.36,87.0,374.5,1.42,0.456,57.8,126,3.338
Rice,South,Loamy,345.8,25.4,44.8,6.99,6.17,19.3,44.5,62.9,2.69,156.0,165.6,1.06,0.573,84.3,117,4.685
Cotton,South,Sandy,413.0,22.6,23.4,3.59,6.21,39.4,57.2,43.1,2.29,154.9,361.1,2.05,0.522,58.6,131,1.593
Rice,South,Loamy,935.6,30.0,44.6,8.48,6.15,35.8,28.0,45.9,2.92,101.4,219.2,1.56,0.482,41.9,129,4.687
Wheat,North,Silty,592.2,25.9,63.9,6.92,5.62,54.7,25.2,52.4,3.08,174.6,286.0,2.1,0.615,56.8,99,3.502
Maize,Central,Silty,404.6,23.1,67.3,5.6,6.82,48.4,22.3,39.8,3.69,228.3,235.6,1.34,0.62,102.7,84,4.919
Soybean,North,Sandy,1082.0,22.9,67.4,8.4,7.24,36.4,47.5,18.5,2.6,161.4,579.2,2.13,0.413,93.3,86,1.903
Wheat,West,Silty,815.3,23.3,69.1,3.18,6.38,52.3,31.3,41.5,2.46,183.4,100.3,1.25,0.513,105.3,97,3.185
Maize,West,Sandy,604.5,24.2,50.6,5.93,7.16,49.0,45.7,68.0,5.45,216.8,358.8,3.08,0.71,40.7,140,5.112
Wheat,West,Silty,413.6,23.7,47.4,6.55,6.16,11.9,37.4,53.0,1.71,155.5,298.8,2.3,0.561,115.5,138,3.222
Soybean,Central,Loamy,1211.9,20.6,65.6,8.28,6.11,66.6,61.6,46.1,3.9,211.1,206.4,1.87,0.478,127.6,108,1.976
Maize,North,Sandy,693.9,28.6,56.8,10.36,6.79,65.2,49.5,55.6,4.49,19.4,347.4,1.98,0.547,59.0,113,4.182
Rice,South,Clayey,1049.3,29.0,73.6,6.63,6.8,46.4,30.4,43.0,2.75,115.1,184.7,1.62,0.417,87.4,87,4.568
Rice,North,Loamy,923.4,34.7,65.7,7.69,6.42,55.3,36.4,45.4,3.44,91.5,171.2,2.12,0.868,67.4,88,5.141
Maize,East,Silty,569.8,20.4,79.3,11.12,6.97,45.1,49.5,39.0,1.32,242.2,162.4,3.5,0.734,95.5,130,5.358
Soybean,West,Sandy,571.8,28.0,53.0,7.01,5.6,25.9,27.2,51.7,3.02,195.5,309.9,1.43,0.95,112.9,109,2.216
Cotton,Central,Sandy,1061.6,12.5,76.0,7.7,6.29,82.5,54.2,37.5,4.16,85.0,228.1,2.16,0.615,60.3,112,1.451
Maize,South,Sandy,1065.6,29.0,90.5,5.14,7.18,61.2,37.0,40.6,3.12,99.0,196.0,1.23,0.548,53.6,137,4.034
Wheat,South,Silty,230.8,15.3,60.8,9.94,7.17,64.1,49.7,57.3,3.04,75.2,341.2,0.0,0.471,74.8,131,4.11
Cotton,Central,Loamy,837.4,18.1,67.5,5.93,7.09,45.7,37.6,42.3,4.73,177.1,429.4,2.61,0.669,152.7,114,1.521
Soybean,West,Silty,669.7,26.0,46.0,7.4,7.21,66.9,33.7,52.9,3.82,169.1,129.7,3.08,0.533,96.8,150,2.424
Soybean,West,Silty,441.7,20.3,73.4,7.36,6.24,29.4,31.8,54.1,3.71,132.1,339.7,2.44,0.456,90.0,107,2.745
Wheat,East,Silty,765.4,19.4,76.9,7.13,5.31,46.3,60.8,43.9,2.19,104.9,362.9,4.33,0.799,100.5,96,2.958
Rice,East,Silty,362.6,21.1,52.6,6.35,6.32,61.1,36.5,40.1,0.56,155.6,452.8,1.64,0.606,103.3,88,4.159
Soybean,South,Silty,583.4,28.4,68.8,7.36,6.95,40.6,77.0,26.5,3.37,312.1,265.3,1.1,0.639,86.7,150,2.508
Cotton,West,Clayey,500.4,18.4,64.2,9.64,7.06,63.7,41.8,29.7,3.01,134.5,485.4,3.18,0.633,78.9,104,1.767
Maize,South,Sandy,575.1,23.7,65.9,10.42,6.13,54.6,29.8,53.5,3.76,226.1,370.0,3.25,0.662,68.4,120,4.661
Cotton,Central,Sandy,682.1,21.7,72.2,6.74,5.82,53.1,21.0,53.3,3.12,139.5,74.5,3.1,0.338,84.4,167,1.517
Cotton,North,Silty,446.1,28.9,67.8,6.33,5.89,39.2,54.8,31.1,3.04,215.6,336.0,0.92,0.427,102.9,100,1.96
Rice,East,Sandy,1093.3,29.1,57.9,5.79,6.12,56.1,37.7,50.5,3.03,193.6,297.9,1.3,0.876,101.7,123,5.054
Cotton,South,Clayey,823.3,13.0,72.5,11.03,5.17,79.0,49.9,48.0,1.89,155.4,418.1,0.36,0.593,69.0,123,1.428
Rice,West,Loamy,1148.6,30.3,76.7,7.19,6.13,52.6,67.9,58.1,1.15,195.7,441.6,3.97,0.662,77.7,121,5.102
Rice,West,Sandy,660.0,20.3,51.7,8.67,6.53,58.3,48.0,75.3,2.11,229.3,183.4,1.08,0.72,56.1,143,4.727
Soybean,Central,Sandy,562.8,25.4,60.0,8.04,6.43,60.6,44.0,53.0,1.9,161.4,408.8,0.79,0.544,101.5,130,2.314
Soybean,West,Sandy,1139.6,18.4,33.5,10.31,6.27,32.8,54.7,35.3,2.95,146.5,284.5,1.9,0.44,90.4,125,2.117
Wheat,South,Clayey,555.5,26.2,68.8,6.63,6.02,48.0,49.6,55.4,1.37,197.3,214.9,2.12,0.395,74.5,162,3.359
Cotton,South,Clayey,655.4,39.3,78.3,5.34,6.1,47.6,24.8,30.4,2.52,255.2,473.9,2.67,0.449,71.6,83,1.409
Wheat,Central,Sandy,880.0,24.8,56.1,9.79,6.11,18.1,56.0,76.1,4.93,73.9,242.9,1.87,0.497,60.6,90,2.987
Cotton,East,Loamy,390.6,21.2,62.0,8.35,6.99,61.8,39.4,27.8,2.93,81.3,303.9,1.32,0.486,81.6,118,1.877
Wheat,North,Clayey,877.8,22.6,56.7,7.68,6.5,36.0,58.5,51.1,3.05,242.2,291.0,1.6,0.407,109.9,133,2.88
Soybean,Central,Loamy,845.8,15.2,54.2,9.3,8.72,60.2,46.1,45.0,3.02,124.8,361.8,1.4,0.738,64.3,119,2.077
Soybean,West,Silty,1017.3,32.7,63.5,7.77,6.27,38.6,54.3,39.2,3.21,232.0,458.4,3.39,0.821,52.5,104,1.936
Soybean,North,Silty,922.5,25.9,48.2,9.35,6.81,80.6,37.3,38.3,2.47,116.9,493.1,1.99,0.46,82.4,152,2.219
Soybean,West,Loamy,1025.0,17.7,56.5,7.37,6.28,45.8,21.8,64.1,2.83,129.2,408.6,2.63,0.343,103.7,140,1.832
Maize,West,Sandy,672.4,17.9,46.4,8.35,6.27,78.8,46.8,52.9,2.46,219.7,97.2,1.79,0.609,99.2,105,5.427
Soybean,West,Loamy,484.3,24.1,68.8,7.79,7.59,47.4,51.7,42.9,1.51,201.4,474.9,0.17,0.827,104.3,161,2.648
Rice,Central,Sandy,1227.5,29.6,63.6,6.51,7.2,49.2,33.3,69.3,4.17,89.3,372.1,3.64,0.4,69.7,110,4.208
Soybean,East,Loamy,318.3,17.1,53.5,6.69,5.27,73.5,37.6,43.3,2.12,193.1,431.7,2.58,0.405,97.8,113,2.427
Maize,East,Silty,343.4,30.7,60.6,6.41,5.78,36.2,13.4,55.3,4.6,117.2,263.8,2.39,0.245,87.5,82,4.677
Maize,West,Loamy,841.3,23.5,56.7,7.4,6.4,50.7,38.1,26.2,2.24,183.5,298.5,0.0,0.639,74.7,127,4.345
Maize,North,Clayey,1106.2,18.4,77.2,6.32,6.14,58.1,25.0,27.0,1.64,161.0,414.0,1.86,0.45,80.6,168,4.053
Maize,North,Clayey,747.4,21.2,53.4,7.65,5.44,56.1,46.2,54.9,4.94,147.1,541.4,3.54,0.732,96.4,167,4.448
Wheat,Central,Loamy,949.8,34.5,69.5,7.6,6.58,50.6,44.0,49.3,1.52,120.3,323.2,3.3,0.709,91.4,111,2.58
Wheat,South,Silty,201.0,15.7,49.4,7.31,5.19,48.6,40.2,75.1,0.74,57.1,150.2,1.78,0.824,91.0,107,3.344
Rice,East,Loamy,575.1,19.6,72.2,7.33,6.59,62.7,55.9,35.1,1.55,119.5,371.6,3.22,0.764,93.4,121,5.075
Wheat,South,Silty,231.5,29.7,75.6,6.15,7.01,52.7,42.9,54.5,2.86,199.1,277.6,3.57,0.362,71.9,156,3.302
Maize,South,Clayey,895.1,25.3,76.3,6.58,7.11,64.5,42.3,41.6,1.66,184.8,173.3,1.85,0.558,53.5,125,4.596
Soybean,East,Clayey,313.2,19.3,82.1,4.49,6.4,55.9,43.9,56.9,2.44,107.4,284.2,3.32,0.771,66.2,140,2.384
Soybean,Central,Silty,380.5,29.8,64.4,6.82,7.56,59.8,33.0,55.8,0.97,223.8,357.3,3.27,0.395,97.7,137,2.572
Maize,East,Sandy,828.5,30.1,78.6,5.52,6.73,67.0,51.9,44.6,4.09,179.5,426.3,2.84,0.543,51.5,148,3.878
Cotton,North,Sandy,965.5,26.0,84.4,7.15,7.09,45.3,29.0,34.6,3.42,194.9,242.0,2.94,0.61,80.2,142,1.577
Maize,South,Loamy,660.3,20.3,43.2,5.93,5.98,66.6,45.1,40.3,1.73,95.7,247.2,1.13,0.593,83.0,104,4.917
Wheat,North,Silty,842.5,21.3,51.0,3.92,7.57,47.6,54.6,29.4,0.68,266.4,287.8,2.78,0.644,94.5,124,2.944
Soybean,Central,Sandy,834.4,25.7,37.6,10.38,6.5,29.0,27.7,50.1,2.1,187.1,510.7,1.87,0.498,54.5,109,2.155
Maize,South,Silty,646.1,16.1,75.9,6.65,7.6,45.1,23.9,5.7,3.65,250.7,461.1,1.1,0.46,35.0,143,4.691
Soybean,South,Sandy,426.3,32.0,37.4,9.17,7.45,39.2,27.5,36.9,4.08,120.7,367.7,3.52,0.668,68.6,133,2.533
Maize,North,Silty,841.2,34.2,33.3,6.21,6.68,55.6,61.8,57.7,2.76,48.9,363.2,1.88,0.573,91.2,134,4.266
Maize,East,Silty,853.3,22.6,43.5,9.55,6.78,45.7,32.7,57.3,2.5,102.0,262.2,2.23,0.917,107.8,129,4.511
Wheat,Central,Sandy,923.5,26.1,33.9,5.27,6.37,51.9,25.6,22.4,2.42,221.2,392.7,2.14,0.433,66.6,82,3.079
Maize,East,Sandy,778.0,31.1,64.1,7.26,5.93,65.2,44.4,53.2,3.3,90.9,180.8,0.44,0.591,63.2,134,4.387
Soybean,West,Silty,407.9,35.7,43.7,5.36,6.92,72.3,7.3,29.0,3.88,248.3,357.5,1.7,0.401,84.9,88,1.967
Rice,North,Loamy,872.6,33.3,34.6,10.9,6.88,54.4,28.5,39.7,2.86,115.3,56.2,2.77,0.655,121.7,95,4.561
Soybean,North,Loamy,699.7,13.6,59.4,6.63,5.37,66.3,57.0,55.7,2.63,182.1,103.1,2.01,0.569,89.2,148,2.106
Wheat,West,Sandy,579.3,22.1,60.3,8.24,6.44,47.3,28.5,31.3,3.78,172.9,67.9,1.65,0.679,90.7,110,3.818
Rice,North,Clayey,626.3,27.0,32.0,7.68,7.11,26.6,36.9,65.0,4.49,140.2,525.8,2.33,0.493,119.2,86,5.058
Maize,East,Loamy,527.4,21.0,49.3,6.96,7.53,32.3,43.5,48.6,2.71,140.6,281.0,3.07,0.324,98.7,104,5.249
Cotton,South,Sandy,922.2,34.7,58.9,7.78,7.01,47.1,43.5,51.5,3.08,99.7,137.7,0.37,0.791,83.3,139,1.724
Rice,North,Silty,345.5,33.8,54.6,9.04,5.44,61.9,33.6,60.1,2.25,276.3,592.5,1.9,0.735,57.6,108,4.408
Rice,East,Loamy,451.6,19.1,55.1,8.0,5.76,47.1,46.6,57.5,3.08,189.8,207.0,2.02,0.741,81.5,148,4.881
Maize,Central,Loamy,617.8,23.0,77.7,7.24,6.26,67.8,57.4,56.2,2.07,61.3,363.1,3.77,0.733,94.5,143,4.697
Cotton,North,Sandy,1103.4,19.5,92.2,7.78,7.48,77.5,27.3,35.8,4.42,77.3,206.0,3.21,0.615,59.2,145,1.347
Cotton,Central,Loamy,963.6,22.8,55.3,9.87,6.08,36.7,34.2,29.4,3.89,190.6,395.3,0.62,0.692,98.7,136,1.606
Wheat,East,Loamy,289.8,22.6,40.2,6.37,7.24,81.9,38.7,41.0,4.74,158.0,298.2,3.34,0.464,77.8,88,3.722
Rice,West,Loamy,1037.8,29.7,56.5,4.22,6.06,25.5,48.4,51.6,2.44,49.7,210.4,1.85,0.537,75.8,113,4.38
Cotton,North,Loamy,1037.4,18.7,62.9,5.36,6.87,77.7,40.4,27.0,5.07,311.0,139.7,0.39,0.77,61.4,131,1.967
Wheat,Central,Silty,406.5,8.3,59.2,5.47,5.84,49.5,38.5,53.2,3.24,0.0,214.9,0.66,0.904,87.0,100,3.13
Cotton,North,Loamy,69.6,14.4,69.2,5.68,6.36,46.5,21.4,50.2,2.87,130.9,179.4,3.37,0.649,93.7,133,1.489
Rice,Central,Clayey,681.9,17.8,93.2,5.73,5.71,49.9,26.4,42.5,4.26,159.7,88.6,2.45,0.104,58.6,147,3.818
Cotton,West,Clayey,980.6,20.1,34.3,6.96,7.51,38.0,42.3,45.9,1.98,117.7,388.1,1.02,0.653,90.3,92,1.57
Rice,South,Clayey,1097.8,25.1,52.4,7.37,6.01,72.5,33.8,45.9,3.03,209.8,433.9,3.58,0.813,97.9,75,5.299
Maize,North,Clayey,482.3,17.5,83.1,7.36,5.42,39.6,35.9,51.2,2.84,189.4,218.3,2.71,0.554,96.8,122,5.283
Soybean,West,Sandy,1138.0,16.7,52.2,5.9,5.36,41.5,39.3,55.4,3.42,167.1,50.1,1.74,0.449,84.6,181,1.991
Wheat,North,Silty,143.0,18.4,71.8,8.49,6.44,29.3,68.1,85.2,2.56,154.3,343.6,2.3,0.744,73.6,119,4.115
Maize,West,Loamy,608.0,17.3,69.5,7.8,6.18,39.0,34.0,47.4,2.46,190.8,318.6,1.12,0.547,74.7,88,3.9
Maize,West,Loamy,595.7,20.7,78.6,9.37,6.95,39.5,56.6,36.0,2.62,146.0,180.0,4.0,0.546,52.1,134,5.43
Soybean,South,Silty,988.1,20.4,88.7,8.27,6.34,38.5,55.8,18.3,2.71,67.9,292.9,0.81,0.35,67.4,128,2.205
Cotton,South,Loamy,1024.6,28.1,65.0,6.48,7.32,47.4,49.6,25.3,3.08,216.7,0.0,0.71,0.353,74.2,134,1.675
Soybean,South,Loamy,938.6,18.1,33.8,8.96,6.23,33.3,29.8,34.4,4.29,263.6,301.0,2.19,0.725,63.8,175,2.004
Maize,South,Loamy,362.4,21.9,49.5,7.41,7.22,73.9,41.6,54.7,0.84,163.7,281.6,4.88,0.415,82.9,90,4.704
Maize,North,Loamy,915.7,20.7,92.8,8.2,5.83,47.7,35.3,39.5,3.77,164.9,459.5,0.59,0.865,109.8,139,4.683
Maize,South,Loamy,827.3,28.9,38.8,8.08,5.45,55.6,64.2,50.7,2.53,156.5,330.5,2.82,0.899,113.4,120,4.204
Cotton,West,Clayey,282.2,23.1,67.5,6.81,5.92,62.9,44.9,34.8,2.82,79.6,310.9,2.07,0.443,68.3,131,1.771
Rice,South,Clayey,183.2,30.3,22.3,7.15,5.71,80.4,37.4,51.4,1.91,126.0,535.7,2.4,0.496,115.2,103,3.802
Wheat,West,Loamy,959.5,17.1,39.7,6.8,5.63,63.6,61.4,57.2,3.05,206.4,204.8,3.14,0.706,102.6,85,3.321
Rice,Central,Silty,655.0,23.7,73.3,5.72,6.79,46.3,35.8,39.4,2.61,173.9,120.5,1.31,0.829,66.1,161,4.642
Wheat,West,Loamy,378.7,20.5,60.5,3.78,6.31,33.9,46.6,51.1,2.78,261.7,409.6,1.74,0.625,90.0,165,3.75
Wheat,East,Clayey,648.0,16.6,54.4,5.96,6.6,55.1,48.4,38.8,3.58,203.6,425.4,1.31,0.502,79.5,169,3.051
Wheat,South,Silty,791.0,23.6,47.8,7.3,6.87,65.9,44.2,27.8,3.64,134.4,428.3,3.4,0.542,38.8,102,2.851
Soybean,Central,Clayey,679.3,34.4,30.1,8.63,5.32,52.1,38.7,52.8,4.42,199.3,272.1,3.27,0.617,54.4,116,1.951
Soybean,South,Sandy,312.0,18.9,70.4,8.19,6.9,51.0,50.1,50.8,2.41,147.1,214.7,0.88,0.519,94.2,151,2.406
Soybean,East,Loamy,1171.4,23.2,55.8,6.58,5.66,53.2,32.4,53.3,3.68,60.2,150.8,2.38,0.783,48.9,116,1.906
Maize,East,Loamy,951.1,16.1,37.2,5.98,6.1,22.0,53.4,58.4,3.63,221.7,193.5,3.05,0.496,116.0,103,3.91
Soybean,West,Silty,616.2,15.2,60.5,6.73,5.18,52.2,36.6,41.5,3.09,189.5,119.4,0.41,0.669,100.0,131,2.391
Wheat,East,Sandy,626.2,19.3,68.7,5.54,6.96,61.0,56.1,42.5,4.69,335.5,247.2,3.39,0.714,93.6,89,3.747
Cotton,West,Loamy,789.9,21.3,57.0,3.83,5.32,49.3,52.6,41.0,2.36,126.9,499.1,1.93,0.601,48.8,75,1.493
Maize,Central,Clayey,417.6,21.6,61.7,4.68,5.66,66.9,46.6,49.8,3.15,203.1,234.6,1.55,0.566,100.9,179,5.446
Cotton,South,Clayey,780.7,22.6,60.6,9.06,5.71,67.4,38.9,43.1,3.3,114.7,315.4,3.4,0.596,99.2,113,1.989
Wheat,Central,Loamy,367.3,14.1,49.4,9.79,6.41,42.4,53.2,46.8,1.8,107.1,365.7,3.13,0.469,98.0,141,3.457
Maize,North,Loamy,682.4,20.2,60.8,8.13,6.39,56.6,46.9,34.9,4.26,299.0,256.7,0.63,0.716,98.8,113,5.284
Soybean,Central,Loamy,407.9,27.0,71.0,6.91,7.07,50.6,5.0,30.6,2.89,35.3,255.8,2.72,0.58,114.9,126,2.469
Maize,North,Loamy,420.5,15.9,75.5,4.91,6.43,19.6,30.2,32.3,3.44,156.7,454.3,2.68,0.562,65.4,121,4.465
